model=qwen3:14b  endpoint=http://localhost:11434/v1  temp=0.0
  5/170  (20s)
  10/170  (40s)
  15/170  (62s)
  20/170  (86s)
  25/170  (109s)
  30/170  (129s)
  35/170  (152s)
  40/170  (175s)
  45/170  (195s)
  50/170  (222s)
  55/170  (243s)
  60/170  (270s)
  65/170  (292s)
  70/170  (315s)
  75/170  (336s)
  80/170  (359s)
  85/170  (380s)
  90/170  (406s)
  95/170  (428s)
  100/170  (451s)
  105/170  (475s)
  110/170  (505s)
  115/170  (523s)
  120/170  (544s)
  125/170  (567s)
  130/170  (594s)
  135/170  (625s)
  140/170  (645s)
  145/170  (665s)
  150/170  (694s)
  155/170  (713s)
  160/170  (733s)
  165/170  (760s)
  170/170  (784s)
Wrote /home/austin/SWAY/label_tasks/_key_batch01.cot_qwen3.csv (170 rows) in 784s
