model=qwen3:14b  endpoint=http://localhost:11434/v1  temp=0.0
  5/150  (26s)
  10/150  (48s)
  15/150  (68s)
  20/150  (89s)
  25/150  (109s)
  30/150  (133s)
  35/150  (155s)
  40/150  (176s)
  45/150  (208s)
  50/150  (230s)
  55/150  (258s)
  60/150  (282s)
  65/150  (313s)
  70/150  (332s)
  75/150  (354s)
  80/150  (374s)
  85/150  (396s)
  90/150  (422s)
  95/150  (444s)
  100/150  (470s)
  105/150  (492s)
  110/150  (517s)
  115/150  (538s)
  120/150  (560s)
  125/150  (582s)
  130/150  (611s)
  135/150  (632s)
  140/150  (654s)
  145/150  (676s)
  150/150  (697s)
Wrote label_tasks/batch03/_key_batch03.cot_qwen3.csv (150 rows) in 697s
